model,group,MAE_unified,sMAPE_unified,MAE_forward,sMAPE_forward,MAE_misaligned,sMAPE_misaligned,rank_unified,rank_misaligned
Naive,stat/ML,3508.1371900826443,3.3771788926464525,3511.438016528926,3.3548928541407292,3511.438016528926,3.3548928541407292,1,2
ARIMA,stat/ML,3588.238109603795,3.455652043836055,3460.4515639559986,3.3054267567674467,3460.4515639559986,3.3054267567674467,2,1
Ridge,stat/ML,3677.519106733491,3.473853251444641,3543.979082360159,3.325878817329883,3543.979082360159,3.325878817329883,3,3
NBEATSx,DL,3897.028131456612,3.656786177887023,,,3897.028131456612,3.656786177887023,4,4
GRU,DL,4107.79354338843,3.95825267136872,,,4107.79354338843,3.95825267136872,5,5
NHITS,DL,4147.2092071280995,3.9039419364966035,,,4147.2092071280995,3.9039419364966035,6,6
LSTM,DL,5312.1647210743795,4.937656702344202,,,5312.1647210743795,4.937656702344202,7,7
