model,group,MAE_unified,sMAPE_unified,MAE_forward,sMAPE_forward,MAE_misaligned,sMAPE_misaligned,rank_unified,rank_misaligned
Naive,stat/ML,15878.677064220185,16.039970709378583,15945.999082568807,16.074592156199362,15945.999082568807,16.074592156199362,1,1
ARIMA,stat/ML,16516.354158892987,16.484365216526175,16651.366059473246,16.521582077163405,16651.366059473246,16.521582077163405,2,2
LSTM,DL,20236.457117259175,18.506283758557327,,,20236.457117259175,18.506283758557327,3,3
Ridge,stat/ML,21573.335041048074,20.647505692607517,21072.544335075036,20.32617880947938,21072.544335075036,20.32617880947938,4,4
GRU,DL,23232.552042717893,20.283995602221225,,,23232.552042717893,20.283995602221225,5,5
NBEATSx,DL,25361.80296014908,20.07672930882099,,,25361.80296014908,20.07672930882099,6,6
NHITS,DL,25366.14423738532,20.443241672150688,,,25366.14423738532,20.443241672150688,7,7
