model,group,MAE_unified,sMAPE_unified,MAE_forward,sMAPE_forward,MAE_misaligned,sMAPE_misaligned,rank_unified,rank_misaligned
Naive,stat/ML,8646.49745762712,8.539501282679554,8646.49745762712,8.539501282679554,8646.49745762712,8.539501282679554,1,1
ARIMA,stat/ML,9189.000077957575,8.954565418122286,9189.000077957575,8.954565418122286,9189.000077957575,8.954565418122286,2,2
NHITS,DL,9882.801999470337,9.349357511392707,,,9882.801999470337,9.349357511392707,3,3
Ridge,stat/ML,10249.114214138337,9.78116607227663,10249.114214138337,9.78116607227663,10249.114214138337,9.78116607227663,4,4
NBEATSx,DL,10305.699675582626,9.706129342099668,,,10305.699675582626,9.706129342099668,5,5
GRU,DL,11049.530283368642,10.726610388425293,,,11049.530283368642,10.726610388425293,6,6
LSTM,DL,12175.450655455508,11.248658056916366,,,12175.450655455508,11.248658056916366,7,7
