model,h,n,MAE,MAE_naive,dMAE_pct,RMSE,DA,DM,DM_p
LSTM,1,122,2097.5,1567.3,33.82,4297.9,0.402,3.54,0.0004
GRU,1,122,2037.6,1567.3,30.0,4058.8,0.434,3.766,0.0002
LSTM,5,121,5312.2,3508.1,51.42,8455.5,0.587,2.598,0.0094
GRU,5,121,4107.8,3508.1,17.09,6270.2,0.612,2.234,0.0255
LSTM,21,118,12175.5,8646.5,40.81,16467.3,0.551,2.942,0.0033
GRU,21,118,11049.5,8646.5,27.79,14426.4,0.508,3.06,0.0022
LSTM,63,109,20236.5,15878.7,27.44,26286.9,0.615,1.043,0.2968
GRU,63,109,23232.6,15878.7,46.31,31227.5,0.633,1.157,0.2475
