model,status,p_MCS,MAE_or_MSE
Chronos,IN_MCS,0.467,31151218.57
Naive,IN_MCS,0.467,31224581.48
Theta,IN_MCS,0.467,31250680.18
Combination,IN_MCS,0.467,33722078.97
"ARIMAX(1,1,1)",IN_MCS,0.467,34813628.14
ARIMA,IN_MCS,0.467,35280283.85
SARIMAX,IN_MCS,0.467,35332567.52
VECM,IN_MCS,0.467,35484728.6
AutoARIMA,IN_MCS,0.467,38233516.64
ETS,IN_MCS,0.467,39061470.34
NBEATSx,eliminated,0.0563,39310615.43
GRU,eliminated,0.0563,39315340.13
SVR,eliminated,0.0563,43510311.48
NHITS,eliminated,0.0563,44068528.9
XGBoost,eliminated,0.0563,47957872.01
RandomForest,eliminated,0.0563,52399301.89
LightGBM,eliminated,0.0563,52951720.22
Ridge,eliminated,0.0563,54224215.17
Lasso,eliminated,0.0563,54230379.19
ElasticNet,eliminated,0.0563,54383125.69
kNN,eliminated,0.0563,67595563.75
LSTM,eliminated,0.0563,71495106.86
