model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Theta,3505.7,5590.2,3.369,11.693,54.5
Naive,3508.1,5587.9,3.377,11.702,0.8
Chronos,3543.0,5581.3,3.39,11.818,
ARIMA,3555.0,5939.7,3.405,11.858,50.4
Combination,3563.2,5807.1,3.427,11.885,54.5
"ARIMAX(1,1,1)",3602.7,5900.3,3.455,12.017,44.6
SARIMAX,3611.4,5944.1,3.461,12.046,
ETS,3680.1,6249.9,3.547,12.275,57.0
AutoARIMA,3693.0,6183.3,3.516,12.318,55.4
VECM,3704.6,5956.9,3.535,12.357,
NBEATSx,3897.0,6269.8,3.657,12.999,
SVR,4089.0,6596.2,3.859,13.639,53.7
GRU,4107.8,6270.2,3.958,13.702,
NHITS,4147.2,6638.4,3.904,13.833,
Ridge,4485.6,7363.7,4.224,14.962,50.4
ElasticNet,4495.2,7374.5,4.232,14.994,50.4
Lasso,4542.6,7364.1,4.253,15.152,52.9
XGBoost,4758.6,6925.2,4.576,15.873,47.9
LightGBM,5006.9,7276.8,4.868,16.701,48.8
RandomForest,5051.7,7238.7,4.898,16.85,43.8
LSTM,5312.2,8455.5,4.938,17.719,
kNN,6037.4,8221.7,5.895,20.138,41.3
