model,status,p_MCS,MAE_or_MSE
Naive,IN_MCS,0.2863,1567.34
ETS,IN_MCS,0.2863,1574.32
Combination,IN_MCS,0.2863,1575.67
ARIMA,IN_MCS,0.2863,1576.75
Theta,IN_MCS,0.2863,1579.88
Chronos,IN_MCS,0.2863,1589.73
AutoARIMA,IN_MCS,0.2863,1594.86
"ARIMAX(1,1,1)",IN_MCS,0.2863,1604.82
SARIMAX,IN_MCS,0.2863,1607.91
VECM,IN_MCS,0.2863,1634.64
SVR,IN_MCS,0.2863,1692.25
GRU,eliminated,0.0047,2037.6
LSTM,eliminated,0.0033,2097.48
XGBoost,eliminated,0.0033,2146.43
Lasso,eliminated,0.094,2326.98
ElasticNet,eliminated,0.0047,2341.87
Ridge,eliminated,0.0033,2344.43
RandomForest,eliminated,0.0033,2358.55
LightGBM,eliminated,0.0047,2469.39
kNN,eliminated,0.0027,3761.99
