model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
LSTM,121,2.3703,0.0089,-2.6062,0.0092,11.0357,0.004,-1804.0275309917354
GRU,121,1.7523,0.0399,-2.2338,0.0255,5.5349,0.0628,-599.6563533057857
NBEATSx,121,1.5586,0.0596,-1.3609,0.1735,3.0292,0.2199,-388.8909413739668
NHITS,121,1.3099,0.0951,-1.7328,0.0831,3.1556,0.2064,-639.0720170454545
Chronos,121,1.2174,0.1117,-0.2991,0.7649,4.1628,0.1248,-34.85103951446271
XGBoost,121,0.2706,0.3933,-3.6965,0.0002,14.2189,0.0008,-1250.4834775309919
SVR,121,-0.035,0.514,-1.8773,0.0605,6.2342,0.0443,-580.8251096964607
Theta,121,-0.0471,0.5188,0.1611,0.872,1.7372,0.4195,2.46562422037306
kNN,121,-0.0945,0.5376,-4.6027,0.0,25.8134,0.0,-2529.270247933884
Lasso,121,-0.2241,0.5886,-2.6361,0.0084,10.5906,0.005,-1034.5124385942017
RandomForest,121,-0.2549,0.6006,-4.3644,0.0,20.3759,0.0,-1543.584394224082
AutoARIMA,121,-0.3577,0.6397,-0.8066,0.4199,1.6998,0.4275,-184.82151303704907
ElasticNet,121,-0.456,0.6758,-2.2896,0.022,8.4008,0.015,-987.0400220386941
Ridge,121,-0.4577,0.6764,-2.2703,0.0232,7.6799,0.0215,-977.4452953005801
LightGBM,121,-0.6933,0.7559,-4.4653,0.0,28.5149,0.0,-1498.7259528538639
Combination,121,-0.7553,0.775,-0.5133,0.6078,2.1709,0.3378,-55.07509992793895
ARIMA,121,-0.7578,0.7757,-0.5715,0.5677,1.5985,0.4497,-46.81651254776428
ETS,121,-0.7591,0.7761,-0.7235,0.4694,2.0101,0.366,-171.9536130375842
VECM,121,-0.7724,0.7801,-1.4613,0.1439,3.3808,0.1844,-196.41788628166293
"ARIMAX(1,1,1)",121,-0.9458,0.8279,-1.3898,0.1646,2.079,0.3536,-94.59922552469622
SARIMAX,121,-0.9563,0.8305,-1.3697,0.1708,2.0655,0.356,-103.23994951053085
