model,status,p_MCS,MAE_or_MSE
Naive,IN_MCS,0.125,8646.5
Theta,IN_MCS,0.125,8713.5
Combination,IN_MCS,0.125,8824.93
Chronos,IN_MCS,0.125,8907.72
ETS,IN_MCS,0.125,8944.63
"ARIMAX(1,1,1)",IN_MCS,0.125,9365.43
SARIMAX,IN_MCS,0.125,9401.32
ARIMA,IN_MCS,0.125,9587.39
AutoARIMA,IN_MCS,0.125,9633.6
XGBoost,IN_MCS,0.125,9703.16
kNN,IN_MCS,0.125,9790.94
LightGBM,IN_MCS,0.125,9808.02
NHITS,IN_MCS,0.125,9882.8
RandomForest,IN_MCS,0.125,10146.6
SVR,IN_MCS,0.125,10161.19
NBEATSx,IN_MCS,0.125,10305.7
VECM,IN_MCS,0.125,10455.36
ElasticNet,IN_MCS,0.125,10469.37
Ridge,IN_MCS,0.125,10528.44
GRU,IN_MCS,0.125,11049.53
Lasso,IN_MCS,0.125,11150.64
LSTM,eliminated,0.0687,12175.45
