model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
NBEATSx,109,2.0793,0.0188,-1.0992,0.2717,1.3872,0.4998,-1007242280.0622079
LSTM,109,1.9957,0.023,-1.3814,0.1672,2.0114,0.3658,-291947221.4142909
GRU,109,1.9352,0.0265,-1.376,0.1688,2.2563,0.3236,-576098015.6519349
NHITS,109,1.8576,0.0316,-1.1466,0.2515,1.3687,0.5044,-942213515.6859115
ETS,109,1.4635,0.0717,-0.4839,0.6285,3.1555,0.2064,-12181805.717600266
Combination,109,1.2163,0.1119,0.6393,0.5226,7.1782,0.0276,11786189.000438605
AutoARIMA,109,1.212,0.1128,-1.8663,0.062,3.5095,0.173,-474141708.72726953
RandomForest,109,0.875,0.1908,-2.2387,0.0252,5.5833,0.0613,-292808905.4913576
Chronos,109,0.8167,0.2071,0.1467,0.8833,23.5819,0.0,6380754.187352406
VECM,109,0.6493,0.2581,-2.6905,0.0071,7.4112,0.0246,-325923403.7528452
LightGBM,109,0.6377,0.2618,-1.8914,0.0586,11.1026,0.0039,-229134354.95893005
Lasso,109,0.4973,0.3095,-1.5407,0.1234,34.8087,0.0,-259742330.57054213
ARIMA,109,0.4469,0.3275,-1.6548,0.098,2.7685,0.2505,-478420062.72827655
Ridge,109,0.4113,0.3404,-1.8865,0.0592,28.0162,0.0,-241787573.89614633
Theta,109,0.4073,0.3419,0.184,0.854,49.2561,0.0,2759841.133563455
XGBoost,109,0.3838,0.3506,-1.6837,0.0922,21.2323,0.0,-256302979.99554765
SVR,109,0.3233,0.3732,-1.1922,0.2332,29.9936,0.0,-46432525.13840024
ElasticNet,109,0.2839,0.3883,-2.1033,0.0354,19.813,0.0,-196685313.32011628
kNN,109,0.0227,0.4909,-1.111,0.2666,15.2814,0.0005,-179726384.49964195
SARIMAX,109,-1.6005,0.9453,-1.6624,0.0964,2.7823,0.2488,-357830682.3203511
"ARIMAX(1,1,1)",109,-1.6326,0.9487,-1.6627,0.0964,2.7849,0.2485,-267452617.71617994
