model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
NBEATSx,109,2.0793,0.0188,-0.997,0.3188,3.5163,0.1724,-9483.125895928899
LSTM,109,1.9957,0.023,-1.1775,0.239,12.2062,0.0022,-4357.78005303899
GRU,109,1.9352,0.0265,-1.3472,0.1779,2.9242,0.2318,-7353.874978497708
NHITS,109,1.8576,0.0316,-1.0995,0.2715,2.682,0.2616,-9487.467173165138
ETS,109,1.4635,0.0717,0.0487,0.9612,3.2944,0.1926,19.00710202411267
Combination,109,1.2163,0.1119,0.5643,0.5725,4.8014,0.0907,147.4369752080721
AutoARIMA,109,1.212,0.1128,-2.0375,0.0416,4.2954,0.1168,-4125.401481884801
RandomForest,109,0.875,0.1908,-2.4737,0.0134,7.7289,0.021,-6641.833673039164
Chronos,109,0.8167,0.2071,0.2241,0.8227,29.7619,0.0,141.21645642201835
VECM,109,0.6493,0.2581,-3.5987,0.0003,12.2483,0.0022,-5455.611368715863
LightGBM,109,0.6377,0.2618,-2.0447,0.0409,18.6473,0.0001,-5308.236010563131
Lasso,109,0.4973,0.3095,-1.9906,0.0465,17.1404,0.0002,-5434.252663139929
ARIMA,109,0.4469,0.3275,-1.6659,0.0957,2.7836,0.2486,-2722.616961817016
Ridge,109,0.4113,0.3404,-2.4457,0.0145,12.4799,0.0019,-5207.122120784044
Theta,109,0.4073,0.3419,0.6062,0.5444,23.843,0.0,116.94635615691868
XGBoost,109,0.3838,0.3506,-1.7186,0.0857,20.9951,0.0,-5621.702157396789
SVR,109,0.3233,0.3732,-1.6734,0.0942,15.2189,0.0005,-1314.3918028574938
ElasticNet,109,0.2839,0.3883,-2.6325,0.0085,10.4395,0.0054,-4421.7237522694895
kNN,109,0.0227,0.4909,-0.7867,0.4315,31.4874,0.0,-1898.222981651376
SARIMAX,109,-1.6005,0.9453,-1.6653,0.0958,2.7863,0.2483,-2750.7239310694026
"ARIMAX(1,1,1)",109,-1.6326,0.9487,-1.6785,0.0932,2.8247,0.2436,-2329.5305119990935
