model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Combination,15731.2,19679.2,15.757,52.473,52.3
Chronos,15737.5,19816.0,15.784,52.494,
Theta,15761.7,19907.2,15.775,52.575,58.7
ETS,15859.7,20279.0,15.863,52.901,46.8
Naive,15878.7,19976.4,16.04,52.965,0.9
SVR,17193.1,21106.6,16.716,57.349,52.3
kNN,17776.9,24057.9,18.624,59.296,58.7
"ARIMAX(1,1,1)",18208.2,25816.8,17.316,60.735,43.1
ARIMA,18601.3,29622.2,17.364,62.046,49.5
SARIMAX,18629.4,27511.6,17.483,62.14,
AutoARIMA,20004.1,29549.9,18.339,66.725,55.0
LSTM,20236.5,26286.9,18.506,67.5,
ElasticNet,20300.4,24407.8,19.29,67.714,48.6
Ridge,21085.8,25314.9,19.714,70.333,51.4
LightGBM,21186.9,25063.7,22.579,70.671,56.0
Lasso,21312.9,25667.1,19.421,71.091,51.4
VECM,21334.3,26925.4,19.68,71.162,
XGBoost,21500.4,25600.0,22.751,71.716,52.3
RandomForest,22520.5,26303.3,24.116,75.119,54.1
GRU,23232.6,31227.5,20.284,77.494,
NBEATSx,25361.8,37500.6,20.077,84.596,
NHITS,25366.1,36623.3,20.443,84.611,
