model,status,p_MCS,MAE_or_MSE
SVR,IN_MCS,0.6077,14269206.7
Naive,IN_MCS,0.6077,14525392.77
Theta,eliminated,0.0937,14578467.85
Combination,eliminated,0.0937,14652084.06
ARIMA,eliminated,0.0937,14667369.02
VECM,eliminated,0.0937,14753214.95
ETS,eliminated,0.0937,14756069.46
Chronos,eliminated,0.0937,14809442.2
AutoARIMA,eliminated,0.0937,14980436.41
"ARIMAX(1,1,1)",eliminated,0.0937,15107886.83
SARIMAX,eliminated,0.0937,15159254.11
GRU,eliminated,0.0937,16473515.73
XGBoost,eliminated,0.0937,17350219.93
LSTM,eliminated,0.0937,18471868.93
LightGBM,eliminated,0.0937,19370798.0
Lasso,eliminated,0.0937,20496620.25
ElasticNet,eliminated,0.0937,20508794.8
Ridge,eliminated,0.0937,20543714.6
RandomForest,eliminated,0.0937,20777572.82
kNN,eliminated,0.0937,37138295.66
