model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
SVR,122,2.631,0.0043,-1.4672,0.1423,4.803,0.0906,-124.90628934728947
kNN,122,1.0092,0.1564,-6.0059,0.0,40.4643,0.0,-2194.6442622950817
XGBoost,122,0.6846,0.2468,-4.4066,0.0,21.5511,0.0,-579.0867187499998
LightGBM,122,0.4202,0.3372,-4.973,0.0,24.5647,0.0,-902.0486133227284
GRU,122,0.3443,0.3653,-3.7658,0.0002,14.0425,0.0009,-470.2548924180328
RandomForest,122,0.2728,0.3925,-4.0776,0.0,18.3083,0.0001,-791.2026641773431
VECM,122,0.0321,0.4872,-1.6566,0.0976,4.2694,0.1183,-67.29569897598097
LSTM,122,-0.1954,0.5775,-3.5401,0.0004,13.3685,0.0013,-530.1376408811476
Chronos,122,-0.3165,0.6242,-0.6188,0.5361,0.4581,0.7953,-22.38408683401642
ARIMA,122,-0.4243,0.6643,-0.3761,0.7069,0.276,0.8711,-9.403865466780518
Lasso,122,-0.7049,0.7596,-4.3305,0.0,19.1083,0.0001,-759.6385391635341
AutoARIMA,122,-0.7954,0.7868,-0.8579,0.3909,0.6561,0.7203,-27.51375229482431
ETS,122,-0.81,0.791,-0.2938,0.7689,0.3458,0.8412,-6.979449608859229
"ARIMAX(1,1,1)",122,-0.8823,0.8112,-1.3786,0.168,1.9314,0.3807,-37.47910224397826
SARIMAX,122,-0.9004,0.816,-1.4406,0.1497,2.111,0.348,-40.569706620206695
ElasticNet,122,-0.9315,0.8242,-4.5738,0.0,21.361,0.0,-774.530017197131
Ridge,122,-0.9522,0.8295,-4.5975,0.0,21.5728,0.0,-777.0879804795904
Combination,122,-0.9627,0.8321,-0.6087,0.5427,0.517,0.7722,-8.331141783411367
Theta,122,-1.9653,0.9753,-1.6659,0.0957,6.6254,0.0364,-12.540646599838391
