model,status,p_MCS,MAE_or_MSE
Naive,IN_MCS,0.2157,8646.5
Theta,IN_MCS,0.2157,8713.5
Combination,IN_MCS,0.2157,8824.93
Chronos,IN_MCS,0.2157,8907.72
ETS,IN_MCS,0.2157,8944.63
"ARIMAX(1,1,1)",IN_MCS,0.2157,9365.43
SARIMAX,IN_MCS,0.2157,9401.32
ARIMA,IN_MCS,0.2157,9587.39
AutoARIMA,IN_MCS,0.2157,9633.6
XGBoost,IN_MCS,0.2157,9703.16
kNN,IN_MCS,0.2157,9790.94
LightGBM,IN_MCS,0.2157,9808.02
NHITS,IN_MCS,0.2157,9882.8
RandomForest,IN_MCS,0.2157,10146.6
SVR,IN_MCS,0.2157,10161.19
NBEATSx,IN_MCS,0.2157,10305.7
ElasticNet,IN_MCS,0.2157,10469.37
Ridge,IN_MCS,0.2157,10528.44
VECM,eliminated,0.0907,10455.36
GRU,eliminated,0.063,11049.53
Lasso,eliminated,0.0907,11150.64
LSTM,eliminated,0.0233,12175.45
