model,status,p_MCS,MAE_or_MSE
Chronos,IN_MCS,0.1083,31151218.57
Naive,IN_MCS,0.1083,31224581.48
Theta,IN_MCS,0.1083,31250680.18
Combination,IN_MCS,0.1083,33722078.97
"ARIMAX(1,1,1)",IN_MCS,0.1083,34813628.14
ARIMA,IN_MCS,0.1083,35280283.85
SARIMAX,IN_MCS,0.1083,35332567.52
VECM,IN_MCS,0.1083,35484728.6
AutoARIMA,IN_MCS,0.1083,38233516.64
ETS,IN_MCS,0.1083,39061470.34
NBEATSx,IN_MCS,0.1083,39310615.43
GRU,IN_MCS,0.1083,39315340.13
NHITS,IN_MCS,0.1083,44068528.9
Ridge,IN_MCS,0.1083,54224215.17
SVR,eliminated,0.097,43510311.48
XGBoost,eliminated,0.0833,47957872.01
RandomForest,eliminated,0.0577,52399301.89
LightGBM,eliminated,0.0663,52951720.22
Lasso,eliminated,0.0663,54230379.19
ElasticNet,eliminated,0.0817,54383125.69
kNN,eliminated,0.044,67595563.75
LSTM,eliminated,0.078,71495106.86
