model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
Chronos,118,1.2108,0.113,0.1614,0.8718,1.6838,0.4309,1134314.1242711726
RandomForest,118,1.0025,0.158,-2.3103,0.0209,5.4346,0.0661,-56909019.73056374
LightGBM,118,0.9534,0.1702,-2.1454,0.0319,5.4268,0.0663,-40663447.9774542
NHITS,118,0.649,0.2582,-1.7517,0.0798,3.125,0.2096,-61551534.224378034
NBEATSx,118,0.538,0.2953,-1.88,0.0601,3.8113,0.1487,-74127654.99533588
kNN,118,0.3278,0.3715,-2.0822,0.0373,4.978,0.083,-42286319.63177817
LSTM,118,0.1851,0.4266,-2.2583,0.0239,6.7484,0.0342,-141544860.64357936
GRU,118,0.087,0.4653,-2.1253,0.0336,5.821,0.0544,-78495634.70377
Theta,118,-0.0207,0.5083,-0.2108,0.833,4.8199,0.0898,-398930.4480880854
XGBoost,118,-0.066,0.5263,-2.1627,0.0306,5.342,0.0692,-47574633.842327565
SVR,118,-0.1956,0.5775,-1.7879,0.0738,7.0613,0.0293,-33131854.72930631
AutoARIMA,118,-0.2074,0.5821,-1.1933,0.2327,1.4547,0.4832,-51499543.662378155
Combination,118,-0.5128,0.6959,-0.8638,0.3877,1.4505,0.4842,-7766387.973924335
ETS,118,-0.5173,0.6975,-0.9632,0.3354,1.5015,0.472,-23172416.266311318
ElasticNet,118,-0.6011,0.7261,-1.8946,0.0582,4.3843,0.1117,-68311417.42808206
Ridge,118,-0.6317,0.7362,-1.9049,0.0568,4.2314,0.1205,-70726725.28606957
Lasso,118,-0.8363,0.7985,-2.056,0.0398,4.2678,0.1184,-95078630.33361956
ARIMA,118,-1.0905,0.8622,-1.12,0.2627,1.2679,0.5305,-60053206.895744205
SARIMAX,118,-1.1118,0.8669,-1.1288,0.259,1.2803,0.5272,-45823164.34429443
"ARIMAX(1,1,1)",118,-1.1181,0.8682,-1.1323,0.2575,1.286,0.5257,-41804015.688164085
VECM,118,-1.1493,0.8748,-1.8827,0.0597,3.8736,0.1442,-52881550.47410712
