model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,8646.5,11385.4,8.54,28.841,0.0
Theta,8713.5,11402.9,8.56,29.065,50.0
Combination,8824.9,11721.5,8.587,29.436,50.0
Chronos,8907.7,11335.4,8.693,29.712,
ETS,8944.6,12361.2,8.613,29.836,52.5
"ARIMAX(1,1,1)",9365.4,13093.1,9.028,31.239,45.8
SARIMAX,9401.3,13245.7,9.048,31.359,
ARIMA,9587.4,13772.4,9.2,31.98,50.0
AutoARIMA,9633.6,13458.3,9.23,32.134,46.6
XGBoost,9703.2,13311.7,9.867,32.366,54.2
kNN,9790.9,13111.5,9.856,32.658,50.8
LightGBM,9808.0,13049.5,9.843,32.715,55.9
NHITS,9882.8,13826.7,9.349,32.965,
RandomForest,10146.6,13657.8,10.095,33.845,49.2
SVR,10161.2,12757.7,9.693,33.893,49.2
NBEATSx,10305.7,14274.2,9.706,34.376,
VECM,10455.4,13509.5,9.928,34.875,
ElasticNet,10469.4,14069.0,9.936,34.921,51.7
Ridge,10528.4,14154.6,9.99,35.118,51.7
GRU,11049.5,14426.4,10.727,36.857,
Lasso,11150.6,14990.2,10.519,37.194,50.8
LSTM,12175.5,16467.3,11.249,40.612,
