model,status,p_MCS,MAE_or_MSE
Combination,IN_MCS,0.1777,15731.24
Chronos,IN_MCS,0.1777,15737.46
Theta,IN_MCS,0.1777,15761.73
ETS,IN_MCS,0.1777,15859.67
Naive,IN_MCS,0.1777,15878.68
SVR,IN_MCS,0.1777,17193.07
kNN,IN_MCS,0.1777,17776.9
"ARIMAX(1,1,1)",IN_MCS,0.1777,18208.21
ARIMA,IN_MCS,0.1777,18601.29
SARIMAX,IN_MCS,0.1777,18629.4
AutoARIMA,IN_MCS,0.1777,20004.08
LSTM,IN_MCS,0.1777,20236.46
ElasticNet,IN_MCS,0.1777,20300.4
Ridge,IN_MCS,0.1777,21085.8
LightGBM,IN_MCS,0.1777,21186.91
Lasso,IN_MCS,0.1777,21312.93
VECM,IN_MCS,0.1777,21334.29
XGBoost,IN_MCS,0.1777,21500.38
RandomForest,IN_MCS,0.1777,22520.51
GRU,IN_MCS,0.1777,23232.55
NBEATSx,IN_MCS,0.1777,25361.8
NHITS,IN_MCS,0.1777,25366.14
