model,status,p_MCS,MAE_or_MSE
Theta,IN_MCS,0.1303,3505.67
Naive,IN_MCS,0.1303,3508.14
Chronos,IN_MCS,0.1303,3542.99
ARIMA,IN_MCS,0.1303,3554.95
Combination,IN_MCS,0.1303,3563.21
"ARIMAX(1,1,1)",IN_MCS,0.1303,3602.74
SARIMAX,IN_MCS,0.1303,3611.38
ETS,IN_MCS,0.1303,3680.09
AutoARIMA,IN_MCS,0.1303,3692.96
VECM,IN_MCS,0.1303,3704.56
NBEATSx,IN_MCS,0.1303,3897.03
SVR,IN_MCS,0.1303,4088.96
GRU,IN_MCS,0.1303,4107.79
NHITS,IN_MCS,0.1303,4147.21
Ridge,eliminated,0.0683,4485.58
ElasticNet,eliminated,0.0457,4495.18
Lasso,eliminated,0.0077,4542.65
XGBoost,eliminated,0.012,4758.62
LightGBM,eliminated,0.003,5006.86
RandomForest,eliminated,0.0053,5051.72
LSTM,eliminated,0.0267,5312.16
kNN,eliminated,0.002,6037.41
