model,n,CW_stat,CW_p,GW_uncond_DM,GW_uncond_p,GW_cond_chi2,GW_cond_p,mean_lossdiff
LSTM,121,2.3703,0.0089,-1.8112,0.0701,4.9586,0.0838,-40270525.377848625
GRU,121,1.7523,0.0399,-2.5284,0.0115,6.4799,0.0392,-8090758.648521137
NBEATSx,121,1.5586,0.0596,-1.994,0.0461,3.9951,0.1357,-8086033.9431129405
NHITS,121,1.3099,0.0951,-1.9128,0.0558,3.8071,0.149,-12843947.414135138
Chronos,121,1.2174,0.1117,0.0606,0.9516,1.2092,0.5463,73362.91553296759
XGBoost,121,0.2706,0.3933,-2.5528,0.0107,6.8278,0.0329,-16733290.526780829
SVR,121,-0.035,0.514,-2.0708,0.0384,4.5383,0.1034,-12285729.991919372
Theta,121,-0.0471,0.5188,-0.188,0.8509,0.1201,0.9417,-26098.693563887926
kNN,121,-0.0945,0.5376,-3.1522,0.0016,12.4237,0.002,-36370982.26722148
Lasso,121,-0.2241,0.5886,-1.6827,0.0924,5.5564,0.0621,-23005797.70683663
RandomForest,121,-0.2549,0.6006,-3.0204,0.0025,9.4508,0.0089,-21174720.40275312
AutoARIMA,121,-0.3577,0.6397,-1.2751,0.2023,1.6366,0.4412,-7008935.15449718
ElasticNet,121,-0.456,0.6758,-1.461,0.144,3.2993,0.1921,-23158544.203121874
Ridge,121,-0.4577,0.6764,-1.4562,0.1453,3.1927,0.2026,-22999633.68603898
LightGBM,121,-0.6933,0.7559,-2.7077,0.0068,8.9259,0.0115,-21727138.734408826
Combination,121,-0.7553,0.775,-1.0333,0.3015,1.216,0.5445,-2497497.487249818
ARIMA,121,-0.7578,0.7757,-1.0159,0.3097,1.4657,0.4805,-4055702.3627442764
ETS,121,-0.7591,0.7761,-1.1012,0.2708,1.2185,0.5438,-7836888.860210307
VECM,121,-0.7724,0.7801,-1.3728,0.1698,1.906,0.3856,-4260147.118588044
"ARIMAX(1,1,1)",121,-0.9458,0.8279,-1.0076,0.3136,1.2899,0.5247,-3589046.6589968535
SARIMAX,121,-0.9563,0.8305,-1.0097,0.3127,1.2393,0.5381,-4107986.0384861627
