Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,3508.1371900826443,5587.895980104033,3.3771788926464525,11.70168196612415,0.8264462809917356
"ARIMAX(1,1,1)",3602.73641560734,5900.307461773467,3.454555139924411,12.01722551284205,44.62809917355372
XGBoost,4758.620667613637,6925.162237178538,4.576381390742695,15.872773107977673,47.93388429752066
RandomForest,5051.721584306726,7238.736207876063,4.897886914749238,16.850435475577722,43.80165289256198
LightGBM,5006.863142936509,7276.793264816009,4.867504876155578,16.700806431453042,48.760330578512395
Ridge,4485.582485383224,7363.709335009211,4.223952167016912,14.962031651770918,50.413223140495866
Lasso,4542.649628676845,7364.127863589783,4.2528171693264,15.152383831675678,52.892561983471076
ElasticNet,4495.177212121337,7374.491554513075,4.231784412880007,14.994035656961668,50.413223140495866
kNN,6037.407438016528,8221.65213030108,5.895262400887836,20.13827222586968,41.32231404958678
SVR,6609.722701134293,9501.0535179021,6.728277554289913,22.04727715654771,41.32231404958678
