Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,15878.677064220185,19976.388004594115,16.039970709378583,52.96464162620654,0.9174311926605505
kNN,17776.90004587156,24057.898125350304,18.624037207338702,59.29632149746866,58.71559633027523
ElasticNet,20300.40081648967,24407.814138718117,19.289763745456526,67.71366718808764,48.62385321100918
LightGBM,21186.913074783315,25063.727429674578,22.578527995323586,70.67070220226802,55.96330275229357
Ridge,21085.799185004224,25314.88991890421,19.71378163548814,70.33342845371065,51.37614678899083
XGBoost,21500.37922161697,25599.981595806654,22.7506293060861,71.71629448063254,52.293577981651374
Lasso,21312.92972736011,25667.06855643305,19.421185824570745,71.09104117733943,51.37614678899083
"ARIMAX(1,1,1)",18208.207576219276,25816.829693559815,17.316485764223053,60.734983464278606,43.11926605504588
RandomForest,22520.51073725935,26303.326466465216,24.11573175308086,75.1190275873689,54.12844036697248
SVR,31784.906479096022,36939.974181741665,36.133240568926276,106.02118639853379,44.95412844036697
