Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,8646.49745762712,11385.357512310959,8.539501282679554,28.841107940727376,0.0
LightGBM,9808.015936424395,13049.51392430346,9.842678478360652,32.7154489656694,55.932203389830505
"ARIMAX(1,1,1)",9365.427200849555,13093.142532306738,9.028198986649834,31.239157605078745,45.76271186440678
kNN,9790.937740112995,13111.547784869403,9.85645006521442,32.65848322830999,50.847457627118644
XGBoost,9703.15623013771,13311.686577044366,9.867004040768618,32.36568073610964,54.23728813559322
RandomForest,10146.598288396248,13657.795774344386,10.094799461814212,33.844818425141305,49.152542372881356
ElasticNet,10469.367804314219,14069.036324895093,9.93588975556308,34.92144286112666,51.69491525423729
Ridge,10528.442962320501,14154.613769693793,9.990452127986222,35.118492940308926,51.69491525423729
Lasso,11150.644885008625,14990.16330854188,10.518888221803326,37.19389895310396,50.847457627118644
SVR,16716.95492854958,20404.53695319321,18.1133736015889,55.76078682695717,51.69491525423729
