Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
SVR,1692.2497319702409,3777.460350814779,1.5982826421922822,5.644639048539632,52.459016393442624
Naive,1567.343442622951,3811.21932815406,1.459466053823041,5.228003781925034,9.836065573770492
XGBoost,1722.8691084220764,3836.778417393812,1.610989009621415,5.746772513061288,48.36065573770492
ElasticNet,1623.070209324624,3855.8754386945247,1.513395812290481,5.413885024764347,45.08196721311475
Ridge,1624.1951317594994,3855.9942365637007,1.5144470557168437,5.417637296655731,45.08196721311475
Lasso,1621.0870224315634,3862.1275753115956,1.5124823128650262,5.407269940734113,45.90163934426229
LightGBM,1830.6406327328912,3882.4763646568085,1.722816380423827,6.106253352651789,51.63934426229508
"ARIMAX(1,1,1)",1604.8225448669286,3886.8865214998505,1.4964765391462729,5.353018429606057,46.72131147540984
RandomForest,1725.4707785746411,3908.495613440354,1.6060497520026036,5.755450599195472,50.81967213114754
kNN,1891.5513114754096,3991.072696907026,1.761324018451925,6.3094259631758725,45.08196721311475
