Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,3508.1371900826443,5587.895980104033,3.3771788926464525,11.70168196612415,0.8264462809917356
"ARIMAX(1,1,1)",3602.73641560734,5900.307461773467,3.454555139924411,12.01722551284205,44.62809917355372
Ridge,3801.364959350827,6279.557648019577,3.6015413295960848,12.679767460988014,52.892561983471076
ElasticNet,3810.658280104452,6290.797350894353,3.6083659755702975,12.71076610157012,53.71900826446281
Lasso,3901.143157688396,6437.702882951082,3.6692296756339338,13.012585900186961,53.71900826446281
kNN,3949.5307438016525,6555.481657675557,3.7520001429221934,13.173986698709449,61.15702479338842
SVR,4088.962299779105,6596.234643823867,3.8585510438341255,13.639072194425637,53.71900826446281
XGBoost,4471.208019272355,7001.696100655354,4.18822480460541,14.914084430283193,53.71900826446281
RandomForest,4406.42657498638,7128.074906123269,4.152783360339686,14.69800056090555,56.19834710743802
LightGBM,4860.855015474335,7680.687696673525,4.598175105136907,16.21378423720658,49.586776859504134
