Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,8646.49745762712,11385.357512310959,8.539501282679554,28.841107940727376,0.0
SVR,10161.190508537547,12757.673001470208,9.69315662722347,33.89349198322104,49.152542372881356
"ARIMAX(1,1,1)",9365.427200849555,13093.142532306738,9.028198986649834,31.239157605078745,45.76271186440678
kNN,10086.631920903954,13135.74103485565,9.755201033315155,33.644795642953014,50.0
XGBoost,9698.43509563834,13589.36733024109,9.197424900036488,32.34993300121857,49.152542372881356
ElasticNet,10264.16868604882,13759.088747935459,9.771090467490797,34.236984217816236,49.152542372881356
Ridge,10340.035623101508,13860.886215716058,9.839528559323215,34.49004466586376,49.152542372881356
RandomForest,10390.138473300622,14306.865538836852,9.924082376122705,34.65716686971708,48.30508474576271
LightGBM,10426.46695884074,14345.815760921934,9.867369698791503,34.778343540145805,45.76271186440678
Lasso,11167.207488124903,14923.916111143488,10.552938832855292,37.24914488668538,49.152542372881356
