date,equity,strat_logret,signal
2023-07-04,1.013083666197194,0.012998814350736148,1
2023-07-11,1.0053873919635505,-0.007625882471757093,1
2023-07-18,1.0346332340513957,0.02867406880149885,1
2023-07-25,1.0253977049710237,-0.008966458494743569,1
2023-08-01,1.0377117437448533,0.011937500469863423,1
2023-08-08,1.0046177645401864,-0.032410907280658575,1
2023-08-15,0.9853770789560776,-0.019338025167150476,1
2023-08-22,0.9853770789560776,0.0,0
2023-08-29,0.9853770789560776,0.0,0
2023-09-05,0.96674751827614,-0.019087025785059306,1
2023-09-12,0.96674751827614,0.0,0
2023-09-19,0.96674751827614,-0.0,0
2023-09-26,0.9704085254420612,0.003779779679025024,1
2023-10-03,0.9704085254420612,-0.0,0
2023-10-10,0.9704085254420612,-0.0,0
2023-10-17,0.9704085254420612,-0.0,0
2023-10-24,0.9704085254420612,-0.0,0
2023-10-31,0.9704085254420612,-0.0,0
2023-11-07,0.9704085254420612,0.0,0
2023-11-14,0.9704085254420612,-0.0,0
2023-11-21,0.9704085254420612,0.0,0
2023-11-28,0.9704085254420612,0.0,0
2023-12-05,0.9704085254420612,0.0,0
2023-12-12,0.9704085254420612,0.0,0
2023-12-19,0.9704085254420612,0.0,0
2023-12-26,0.9739990937171756,0.00369323008303153,1
2024-01-02,0.9919519350927476,0.018264280416615774,1
2024-01-09,1.0178040266735713,0.025728016815647962,1
2024-01-16,1.0630451869400124,0.04349021591982257,1
2024-01-23,1.1090044608614764,0.04232512344119039,1
2024-01-30,1.1183399383767738,0.008382657109158398,1
2024-02-06,1.1355746660973227,0.015293448654725195,1
2024-02-13,1.1721984625034891,0.0317421768841222,1
2024-02-20,1.1765071444336264,0.0036689883575401544,1
2024-02-27,1.2432917143507538,0.055212468931217944,1
2024-03-05,1.3014589204076066,0.04572341097222392,1
2024-03-12,1.3313827164124097,0.022732156899267098,1
2024-03-19,1.3811695361151457,0.03671259160448034,1
2024-03-26,1.4120484232811292,0.022110802400671287,1
2024-04-02,1.4963118795615133,0.05796190087551202,1
2024-04-09,1.6267644061329687,0.08358968166236996,1
2024-04-16,1.830708684159465,0.11811013586205794,1
2024-04-23,1.923345345657416,0.04936288641676537,1
2024-04-30,1.8702049351857235,-0.028018021537926912,1
2024-05-07,1.442927310447113,-0.2593741112578466,1
2024-05-14,1.4831416751283941,0.027488686770983095,1
2024-05-21,1.6655425435042044,0.11598833092528199,1
2024-05-28,1.7158104993558057,0.02973464104824908,1
2024-06-04,1.7732595917576357,0.03293386686858805,1
2024-06-11,1.7543516592208834,-0.010720066507245432,1
2024-06-18,1.7383118726222926,-0.009184909577072553,1
2024-06-25,1.725864090526126,-0.007186607033296692,1
2024-07-02,1.8127558427838937,0.04912040531681487,1
2024-07-09,1.8347803885834453,0.012076542673618594,1
2024-07-16,1.8314267978144885,-0.0018294610936071456,1
2024-07-23,1.7746958190676814,-0.031466295302107775,1
2024-07-30,1.7746958190676814,-0.0,0
2024-08-06,1.7746958190676814,-0.0,0
2024-08-13,1.7746958190676814,-0.0,0
2024-08-20,1.7746958190676814,0.0,0
2024-08-27,1.7746958190676814,-0.0,0
2024-09-03,1.7746958190676814,0.0,1
2024-09-10,1.8155050640331056,0.022734662498229315,1
2024-09-17,1.8379274769613303,0.012274864370580583,1
2024-10-01,1.8379274769613303,-0.0,0
2024-10-08,1.829920229737788,-0.004366189975392507,1
2024-10-15,1.829920229737788,-0.0,0
2024-10-22,1.829920229737788,-0.0,0
2024-10-29,1.829920229737788,-0.0,0
2024-11-05,1.829920229737788,0.0,0
2024-11-19,1.829920229737788,0.0,0
2024-11-26,1.9281465491536554,0.05228682867545447,1
2024-12-03,1.8610695720339425,-0.03540784308985738,1
2024-12-10,1.872374680537265,0.006056146706117509,1
2024-12-17,1.872374680537265,-0.0,0
2025-01-03,1.8428770686430538,-0.015879533191913223,1
2025-01-10,1.9489426149847984,0.05595900208407641,1
2025-01-24,2.0470005429509945,0.049088595141517755,1
2025-02-07,2.07112565646554,0.011716682946703272,1
2025-02-14,2.0643058085955985,-0.003298255144609678,1
2025-02-21,2.0367747041610014,-0.013426470382123957,1
2025-02-28,2.0682388235148266,0.015329905895503648,1
2025-03-07,2.084757486175585,0.007955099664070072,1
2025-03-14,2.0763722983677906,-0.0040302512019386,1
2025-03-21,2.103510101310465,0.012985142482149615,1
2025-03-28,2.080698614778942,-0.010903716370610434,1
2025-04-04,1.8584832718425517,-0.11294299998772352,1
2025-04-11,2.0879038981109677,0.11639993332940764,1
2025-04-18,2.0737450444017465,-0.006804470312275112,1
2025-04-25,2.0525067638379144,-0.010294315086626272,1
2025-05-02,1.9081651163022415,-0.07291974952905624,1
2025-05-09,1.9824990982756534,0.038216111460430316,1
2025-05-16,1.9305833013418419,-0.026536033755283614,1
2025-05-23,1.9305833013418419,-0.0,0
2025-05-30,1.9305833013418419,-0.0,0
2025-06-06,1.9305833013418419,-0.0,0
2025-06-13,1.9305833013418419,-0.0,0
2025-06-20,1.9305833013418419,-0.0,0
2025-06-27,1.9635789087630438,0.016946596108017936,1
2025-07-04,1.9635789087630438,-0.0,0
2025-07-11,1.995068619354655,0.015909663379347412,1
2025-07-18,1.995068619354655,0.0,0
2025-07-25,1.995068619354655,0.0,0
2025-08-01,1.995068619354655,0.0,0
2025-08-08,1.995068619354655,0.0,0
2025-08-15,2.167769360669735,0.0830202490465562,1
2025-08-22,2.127646966222797,-0.018682036078169994,1
2025-08-29,2.127646966222797,-0.0,0
2025-09-15,2.127646966222797,-0.0,0
2025-09-22,2.127646966222797,0.0,0
2025-09-29,2.127646966222797,0.0,0
